name,ticker,rank,year,industry,sector,headquarters_state,headquarters_city,marketcap,revenue_mil,profit_mil,asset_mil,employees,description
Visa,V,137,2023,Financial Data Services,Business Services,CA,San Francisco,551435,29310,14957,85501,26500,"Visa Inc. is an American multinational financial services corporation that facilitates electronic funds transfers throughout the world. It operates one of the world's largest payment processing networks, connecting consumers, businesses, financial institutions, and governments in more than 200 countries and territories. Visa enables digital payments and provides various financial services, including credit, debit, and prepaid cards. The company does not issue cards, extend credit, or set rates and fees for consumers; rather, it partners with financial institutions to offer Visa-branded payment products to their customers."
Southern,SO,138,2023,Utilities: Gas and Electric,Energy,GA,Atlanta,86042,29279,3524,134891,27562,"Southern Company is an American electric utility holding company based in the United States. It is one of the largest utility companies in the country, serving millions of customers in the Southeastern United States. Southern Company operates a range of energy-related businesses, including traditional and renewable electric utilities, natural gas distribution, and energy services. The company is known for its focus on innovation and sustainability in the energy sector."
United Natural Foods,UNFI,139,2023,Wholesalers: Food and Grocery,Wholesalers,RI,Providence,729,28928,248,7628,30300,"United Natural Foods, Inc. (UNFI) is an American distributor of natural, organic, and specialty foods and non-food products. The company provides products to a wide range of customer locations, including natural product superstores, independent retailers, conventional supermarket chains, e-commerce retailers, and food service customers. UNFI has a focus on sustainability and social responsibility, aiming to provide healthier food options while also reducing its environmental impact. The company was founded in 1996 and has since grown to become a prominent distributor in the natural foods industry."
Paccar,PCAR,140,2023,Motor Vehicles & Parts,Motor Vehicles & Parts,WA,Bellevue,56781,28820,3012,33276,31100,"PACCAR Inc is an American Fortune 500 company and a global technology leader in the design, manufacture, and customer support of high-quality light, medium, and heavy-duty trucks under the Kenworth, Peterbilt, Leyland Trucks, and DAF brands. PACCAR also designs and manufactures advanced diesel engines, provides financial services, information technology, and distributes truck parts related to its principal business. The company has a reputation for innovation, quality, and sustainability in the trucking industry."
Duke Energy,DUK,141,2023,Utilities: Gas and Electric,Energy,NC,Charlotte,79832,28784,2550,178086,27859,"Duke Energy Corporation is an American utility company headquartered in the United States. It operates in the energy sector, specifically in electric power and natural gas distribution. Duke Energy serves millions of customers across several states, providing electricity and gas services. The company is known for its focus on renewable energy and sustainable practices, aiming to reduce its environmental impact. Duke Energy Corporation is a major player in the energy industry, with a significant presence in the market."
Eli Lilly,LLY,142,2023,Pharmaceuticals,Health Care,IN,Indianapolis,763090,28541,6245,49490,39000,"Eli Lilly and Company is an American pharmaceutical company headquartered in Indianapolis, Indiana. The company was founded in 1876 by Colonel Eli Lilly, a pharmaceutical chemist. Eli Lilly and Company is known for developing and manufacturing pharmaceutical drugs and medical devices across a range of therapeutic areas, including neuroscience, endocrinology, oncology, and immunology. The company is one of the largest pharmaceutical companies in the world and is particularly well-known for its production of insulin and other diabetes treatments. Eli Lilly and Company has a significant global presence and operates in numerous countries around the world."
Hewlett Packard Enterprise,HPE,143,2023,"Computers, Office Equipment",Technology,TX,Spring,23595,28496,868,57123,60200,"Hewlett Packard Enterprise Company (HPE) is an American multinational enterprise information technology company. It was formed on November 1, 2015, following the split of the Hewlett-Packard Company into two separate entities: HP Inc. and HPE. HPE focuses on developing and providing a wide range of technology products, software, and services to businesses, government agencies, and educational institutions. Its offerings include servers, storage, networking, software, and consulting services. HPE is known for its innovation in areas such as edge computing, hybrid cloud solutions, and artificial intelligence. The company serves customers in various industries, including telecommunications, financial services, healthcare, and manufacturing."
Dollar Tree,DLTR,144,2023,Specialty Retailers: Other,Retailing,VA,Chesapeake,24818,28332,1615,23022,136287,"Dollar Tree, Inc. is an American chain of discount variety stores that sells items for $1 or less. It operates more than 15,000 stores throughout the United States and Canada, offering a wide range of products including food and snacks, health and beauty products, household supplies, party supplies, toys, and more. The company's stores are typically small in size and are known for providing customers with low-cost options for everyday items. Founded in 1986, Dollar Tree has become a popular destination for budget-conscious shoppers looking for affordable goods."
Lithia Motors,LAD,145,2023,"Automotive Retailing, Services",Retailing,OR,Medford,7109,28188,1251,15007,21875,"Lithia Motors, Inc. is an American company that operates as an automotive retailer. It is one of the largest providers of personal transportation solutions in the United States, offering new and used vehicles, financing, warranty, and vehicle maintenance services. The company operates a network of dealerships representing various automotive brands across the country. Additionally, Lithia Motors provides online sales through its websites and offers customer-focused services to enhance the car-buying experience."
Cummins,CMI,146,2023,Industrial Machinery,Industrials,IN,Columbus,39257,28074,2151,30299,73600,"Cummins Inc. is an American multinational corporation that designs, manufactures, and distributes engines, filtration, and power generation products. The company was founded in 1919 by Clessie Cummins and W.G. Irwin and is headquartered in the United States. Cummins operates in several segments, including engine, distribution, components, power systems, and new power. With a focus on innovation and sustainability, Cummins serves customers in a variety of industries, including trucking, mining, construction, agriculture, and marine. The company is known for its diesel and natural gas engines, as well as its commitment to environmental stewardship."
Penske Automotive Group,PAG,147,2023,"Automotive Retailing, Services",Retailing,MI,Bloomfield Hills,10212,27815,1380,14115,26816,"Penske Automotive Group, Inc. is an international transportation services company that operates automotive and commercial truck dealerships principally in the United States, the United Kingdom, Germany, and other selected international markets. The company sells new and previously owned vehicles, finance and insurance products, and replacement parts, and offers maintenance and repair services on all its brands. Penske Automotive Group, Inc. also distributes commercial vehicles, diesel engines, gas engines, power systems, and related parts and services in Australia and New Zealand."
PayPal Holdings,PYPL,148,2023,Financial Data Services,Business Services,CA,San Jose,65054,27518,2419,78717,29900,"PayPal Holdings, Inc. is an American company operating a worldwide online payments system that supports online money transfers and serves as an electronic alternative to traditional paper methods like checks and money orders. PayPal is one of the world's largest Internet payment companies and operates as a payment processor for online vendors, auction sites, and other commercial users, where customers can securely make payments or transfer money online. The company also owns several digital payment platforms, including Venmo and Braintree."
U.S. Bancorp,USB,149,2023,Commercial Banks,Financials,MN,Minneapolis,63620,27401,5825,674805,76646,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota. It is the parent company of U.S. Bank National Association. With over 70,000 employees and more than 3,000 banking offices in 26 states, U.S. Bancorp is one of the largest financial services providers in the United States. The company offers a wide range of financial services, including banking, investment, mortgage, trust, and payment services to individuals, businesses, governmental entities, and other financial institutions. U.S. Bancorp is known for its strong commitment to customer service, innovation, and community involvement."
Gilead Sciences,GILD,150,2023,Pharmaceuticals,Health Care,CA,Foster City,84469,27281,4592,63171,17000,"Gilead Sciences, Inc. is an American biopharmaceutical company that researches, develops, and commercializes drugs, with a focus on antiviral drugs used in the treatment of HIV, hepatitis B, hepatitis C, and influenza. The company is known for its development of the first drug approved for HIV pre-exposure prophylaxis (PrEP) and for its groundbreaking treatments for hepatitis C. Gilead Sciences has also expanded its portfolio to include drugs for cardiovascular and respiratory conditions, as well as oncology."
AutoNation,AN,151,2023,"Automotive Retailing, Services",Retailing,FL,Fort Lauderdale,6789,26985,1377,10060,23600,"AutoNation, Inc. is an American automotive retailer that was founded in 1996. It is the largest automotive retailer in the United States, with over 300 locations across the country. AutoNation sells new and used vehicles, as well as offering maintenance and repair services. The company represents various brands and strives to provide a seamless and convenient car buying experience for customers."
Nvidia,NVDA,152,2023,Semiconductors and Other Electronic Components,Technology,CA,Santa Clara,2335612,26974,4368,41182,26196,"NVIDIA Corporation is an American multinational technology company known for designing graphics processing units (GPUs) for the gaming and professional markets. In addition to GPUs, NVIDIA also creates system on a chip units (SoCs) for the mobile computing and automotive market. The company was founded in 1993 and has since grown to become a leading player in the semiconductor industry. NVIDIA is renowned for its innovation in artificial intelligence, gaming, and autonomous vehicles, among other technologies."
Kraft Heinz,KHC,153,2023,Food Consumer Products,"Food, Beverages & Tobacco",IL,Chicago,44176,26485,2363,90513,37000,"Kraft Heinz is an American multinational food company formed by the merger of Kraft Foods Group and Heinz in 2015. The company is known for its popular food brands such as Kraft, Heinz, Oscar Mayer, and Philadelphia. Kraft Heinz is one of the largest food and beverage companies in the world, with a wide range of products including condiments, beverages, cheese, and ready-to-eat meals."
Amgen,AMGN,154,2023,Pharmaceuticals,Health Care,CA,Thousand Oaks,165978,26323,6552,65121,25200,"Amgen Inc. is an American multinational biopharmaceutical company that is headquartered in California. The company focuses on the development and commercialization of therapeutics and treatments in various areas, including oncology, nephrology, inflammation, bone health, and cardiovascular disease. Amgen is known for its innovative biotechnology products and has made significant contributions to the healthcare industry through its development of novel therapies for serious illnesses. Established in 1980, the company has grown to become one of the leading biotechnology companies in the world."
Applied Materials,AMAT,155,2023,Semiconductors and Other Electronic Components,Technology,CA,Santa Clara,181260,25785,6525,26726,33000,"Applied Materials, Inc. is an American corporation that supplies equipment, services, and software to enable the manufacture of semiconductor chips, flat panel displays, and solar products. The company was founded in 1967 and has since become one of the world's largest suppliers of semiconductor manufacturing equipment. Applied Materials operates globally, serving customers in the semiconductor industry, display industry, and related technology fields."
EOG Resources,EOG,156,2023,"Mining, Crude-Oil Production",Energy,TX,Houston,72442,25702,7759,41371,2850,"EOG Resources, Inc. is an American energy company engaged in hydrocarbon exploration and production. It is one of the largest independent oil and natural gas companies in the United States. EOG stands for ""Enron Oil & Gas,"" as it was originally a subsidiary of Enron Corporation before becoming an independent company. EOG Resources has operations in several states across the U.S. and focuses on developing and producing oil and natural gas from unconventional resources such as shale formations. The company is known for its technological innovation and operational efficiency in the exploration and production of hydrocarbons."
Truist Financial,TFC,157,2023,Commercial Banks,Financials,NC,Charlotte,52039,25356,6260,555255,53987,"Truist Financial Corporation is an American bank holding company formed in 2019 through the merger of BB&T and SunTrust Banks. It is one of the largest financial services companies in the United States, providing a wide range of banking, lending, insurance, and investment services to consumers, businesses, and institutions. Truist operates over 2,000 branches and has a significant presence in the Southeastern United States. The company is committed to providing innovative financial solutions and building stronger communities through its corporate social responsibility initiatives."
Macy's,M,158,2023,General Merchandisers,Retailing,NY,New York,5536,25305,1177,16866,94570,"Macy's, Inc. is an American holding company that owns and operates Macy's department stores, Bloomingdale's department stores, and Bluemercury beauty stores. Macy's, Inc. was established in 1929 and is one of the largest department store chains in the United States. The company offers a wide range of products including apparel, accessories, cosmetics, home goods, and more. Macy's, Inc. is known for its iconic flagship store in New York City and has a significant presence in many major cities across the country."
Union Pacific,UNP,159,2023,Railroads,Transportation,NE,Omaha,143202,24875,6998,65449,33179,"Union Pacific Corporation is a publicly traded transportation company that operates as the parent company of the Union Pacific Railroad, which is one of the largest railroad networks in the United States. The company's railroad network covers 23 states in the western two-thirds of the country, serving diverse markets such as agriculture, automotive, energy, and industrial products. Union Pacific Corporation was established in the 1969 merger of the Union Pacific Railroad and the Central Pacific Railroad, which played a significant role in the construction of the First Transcontinental Railroad in the 19th century."
C.H. Robinson Worldwide,CHRW,160,2023,Transportation and Logistics,Transportation,MN,Eden Prairie,9876,24697,941,5955,17399,"C.H. Robinson Worldwide, Inc. is a Fortune 500 third-party logistics and transportation company. It offers multimodal transportation services and logistics solutions, including truckload, less than truckload, intermodal, ocean, and air freight, as well as contract logistics services. The company is headquartered in the United States and operates globally, providing services to a wide range of industries. C.H. Robinson is known for its technology-driven approach to logistics and supply chain management."
Rite Aid,RAD,161,2023,Food & Drug Stores,Food & Drug Stores,PA,Philadelphia,0,24568,539,8529,53000,"Rite Aid Corporation is a renowned drugstore chain in the United States, providing a wide range of health and wellness products, including prescription medications, over-the-counter drugs, beauty products, and general merchandise. The company also offers pharmacy services, health screenings, immunizations, and wellness programs at its locations. Rite Aid operates numerous stores across multiple states, serving communities with essential healthcare and retail services."
Constellation Energy,CEG,162,2023,Energy,Energy,MD,Baltimore,69386,24440,160,46909,13370,"Constellation Energy Corporation is a leading energy company that provides electric power, natural gas, renewable energy, and energy management products and services to residential, commercial, industrial, and government customers in the United States. The company is a subsidiary of Exelon Corporation and is known for its innovative energy solutions and commitment to sustainability and environmental responsibility. Constellation Energy Corporation offers a wide range of products and services aimed at helping customers manage their energy consumption and costs efficiently."
Avnet,AVT,163,2023,Wholesalers: Electronics and Office Equipment,Wholesalers,AZ,Phoenix,4952,24311,692,10389,15300,"Avnet, Inc. is a global technology company that specializes in the distribution of electronic components and embedded solutions. The company was founded in 1921 and has since grown to become one of the largest distributors of electronic components and embedded solutions worldwide. Avnet serves a wide range of industries, including automotive, healthcare, and industrial markets, providing design, supply chain, and logistics support to help customers bring their products to market efficiently. With a focus on innovation and collaboration, Avnet works closely with customers and suppliers to provide cutting-edge technology solutions."
Southwest Airlines,LUV,165,2023,Airlines,Transportation,TX,Dallas,16685,23814,539,35369,66656,"Southwest Airlines Co. is a major American airline headquartered in the United States. It is known for its low-cost carrier model and extensive domestic route network. Southwest Airlines was founded in 1967 and has grown to become one of the largest airlines in the United States. The company operates more than 4,000 departures a day during peak travel season and is known for its point-to-point routes, with a focus on connecting major cities within the United States. Southwest Airlines is also known for its friendly customer service, all-coach seating, and lack of assigned seating."
CDW,CDW,166,2023,Information Technology Services,Technology,IL,Lincolnshire,31754,23749,1115,13132,15100,"CDW Corporation is a leading multi-brand technology solutions provider to business, government, education, and healthcare customers in the United States, the United Kingdom, and Canada. The company offers a broad assortment of technology products and services, including hardware, software, and integrated IT solutions. CDW was founded in 1984 and has since grown into a reputable provider of technology solutions, serving a wide range of industries and sectors."
Advanced Micro Devices,AMD,167,2023,Semiconductors and Other Electronic Components,Technology,CA,Santa Clara,267532,23601,1320,67580,25000,"Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company that develops computer processors and related technologies for business and consumer markets. Founded in 1969, AMD is known for its innovations in the field of microprocessors, graphics processing units (GPUs), and motherboard chipsets. The company's products are commonly used in a wide range of applications, including personal computers, servers, workstations, and game consoles. AMD competes with other major semiconductor companies such as Intel and Nvidia in the technology industry."
PNC Financial Services Group,PNC,168,2023,Commercial Banks,Financials,PA,Pittsburgh,62272,23542,6041,557263,60720,"PNC Financial Services Group, Inc. is a diversified financial services company in the United States. With roots dating back to the 19th century, PNC is one of the largest banks in the country, offering a wide range of services including retail banking, asset management, corporate and institutional banking, and residential mortgage banking. PNC operates a network of branches and ATMs across multiple states, serving millions of customers nationwide. The company is known for its commitment to innovation, customer service, and community involvement."
McDonald's,MCD,169,2023,Food Services,"Hotels, Restaurants & Leisure",IL,Chicago,191536,23183,6177,50436,150000,"McDonald's Corporation is an American fast-food company that was founded in 1940 by Richard and Maurice McDonald. It is known for its signature menu item, the Big Mac, as well as its iconic Golden Arches logo. McDonald's is one of the world's largest restaurant chains, serving approximately 69 million customers daily in over 100 countries. The company primarily sells hamburgers, chicken products, french fries, breakfast items, soft drinks, milkshakes, and desserts. With a focus on convenience and quick service, McDonald's has become a global symbol of fast food and has expanded its menu and offerings over the years to cater to a wide range of tastes and preferences."
Cleveland-Cliffs,CLF,170,2023,Metals,Materials,OH,Cleveland,8154,22989,1335,18755,27000,"Cleveland-Cliffs Inc. is an American iron ore mining and processing company. It is the largest producer of iron ore pellets in North America. The company supplies iron ore pellets to the North American steel industry from mines and pellet plants located in Michigan and Minnesota. Cleveland-Cliffs also operates iron ore mines in Eastern Canada. In addition to iron ore mining, the company also produces metallic iron in the United States through its Direct Reduced Iron (DRI) plant."
Freeport-McMoRan,FCX,171,2023,"Mining, Crude-Oil Production",Energy,AZ,Phoenix,73591,22780,3468,51093,25600,"Freeport-McMoRan Inc. is a leading international mining company with headquarters in the United States. The company operates large, long-lived, geographically diverse assets with significant proven and probable reserves of copper, gold, and molybdenum. Freeport-McMoRan is one of the world's largest publicly traded copper producers and has a dynamic portfolio of operating, expansion, and growth projects in the copper industry. The company is committed to responsibly meeting the demands of the world's growing population for essential resources."
Builders FirstSource,BLDR,172,2023,"Building Materials, Glass",Materials,TX,Dallas,20258,22726,2749,10595,29000,"Builders FirstSource, Inc. is a leading supplier and manufacturer of building materials and services to professional homebuilders, contractors, and remodelers in the United States. The company offers a wide range of products including lumber, windows, doors, roofing, insulation, and other construction materials. Builders FirstSource operates through a network of manufacturing facilities, distribution centers, and showrooms to serve customers across the country. The company is committed to providing quality products, excellent customer service, and innovative solutions to help builders successfully complete their projects."
Oneok,OKE,173,2023,Pipelines,Energy,OK,Tulsa,47661,22387,1722,24379,2966,"ONEOK, Inc. is a diversified energy company in the United States. It is involved in the natural gas distribution business, mainly through its ONEOK Partners subsidiary, as well as in the gathering, processing, storage, and transportation of natural gas. The company also has interests in natural gas liquids (NGLs) and is engaged in the processing and fractionation of NGLs. ONEOK, Inc. operates across multiple states and plays a significant role in the energy infrastructure of the country."
Hartford Financial Services Group,HIG,174,2023,Insurance: Property and Casualty (Stock),Financials,CT,Hartford,30279,22362,1815,73022,18800,"The Hartford Financial Services Group, known as The Hartford, is an American investment and insurance company. It is a provider of property and casualty insurance, group benefits, and mutual funds. The company has a long history dating back to its founding in 1810. The Hartford is one of the largest insurance and investment companies in the United States, offering a range of products and services to individual customers, businesses, and institutions."
Charles Schwab,SCHW,175,2023,Securities,Financials,TX,Westlake,137607,22307,7183,551772,35300,"Charles Schwab Corporation is an American multinational financial services company founded in 1971 by Charles R. Schwab. The company offers a wide range of financial services including wealth management, brokerage services, banking, and retirement planning for individual investors and institutions. Charles Schwab is known for its online brokerage platform and was one of the first companies to offer discount brokerage services. As of [year], the company had [number] of retail branches and [number] of employees."
Steel Dynamics,STLD,176,2023,Metals,Materials,IN,Fort Wayne,20856,22261,3863,14160,12060,"Steel Dynamics, Inc. is a leading steel producer in the United States. The company operates in various segments, including steel operations, metals recycling, and ferrous resources. Steel Dynamics is known for its innovative and technologically advanced steel production processes, which enable the company to produce a wide range of high-quality steel products for various industries. Founded in 1993, Steel Dynamics has grown to become one of the largest steel producers in the United States, with multiple production facilities across the country. The company is committed to sustainability and environmental stewardship in its operations."
Mastercard,MA,177,2023,Financial Data Services,Business Services,NY,Purchase,424388,22237,9930,38724,29900,"Mastercard Incorporated is an American multinational financial services corporation headquartered in New York, United States. The company's principal business is to process payments between the banks of merchants and the card-issuing banks or credit unions of the purchasers who use the ""Mastercard"" brand debit, credit, and prepaid cards to make purchases. Mastercard operates the world's fastest payment processing network, connecting consumers, financial institutions, merchants, governments, and businesses in more than 210 countries and territories."
Sherwin-Williams,SHW,178,2023,Chemicals,Chemicals,OH,Cleveland,77895,22149,2020,22594,64366,"Sherwin-Williams is an American company primarily engaged in the manufacture, distribution, and sale of paints, coatings, and related products. With a history dating back to the 19th century, the company has grown to become one of the largest producers of paints and coatings in the United States. Sherwin-Williams serves a wide range of customers, including residential and commercial users, professional painters, and industrial businesses. In addition to its core paint products, the company also offers various supplies and equipment for painting and surface preparation."
Genuine Parts,GPC,179,2023,Wholesalers: Diversified,Wholesalers,GA,Atlanta,20838,22096,1183,16495,58000,"Genuine Parts Company (GPC) is an American service organization engaged in the distribution of automotive replacement parts, industrial replacement parts, office products, and electrical/electronic materials. The company was founded in 1928 and has since grown to become a leading provider of aftermarket parts and supplies. GPC operates through various segments, including the Automotive Parts Group, Industrial Parts Group, Office Products Group, and Electrical/Electronic Materials Group, serving a diverse range of customers across North America. With a strong focus on customer service and product quality, Genuine Parts Company has established itself as a reliable partner for businesses in need of maintenance, repair, and operational supplies."
PG&E,PCG,180,2023,Utilities: Gas and Electric,Energy,CA,Oakland,40029,21680,1800,118644,26010,"PG&E Corporation is an American holding company headquartered in San Francisco, California. It is the parent company of Pacific Gas and Electric Company, an electric utility that provides natural gas and electricity to most of the northern two-thirds of California, from Bakersfield and northern Santa Barbara County, almost to the Oregon border. With a long history dating back to the early 20th century, PG&E Corporation plays a significant role in providing essential energy services to millions of customers in the state of California."
WESCO International,WCC,181,2023,Wholesalers: Diversified,Wholesalers,PA,Pittsburgh,9548,21420,861,14812,20000,"WESCO International, Inc. is a Fortune 500 company that operates as a provider of electrical, industrial, and communications maintenance, repair, and operating (MRO) products, original equipment manufacturers (OEM) products, and construction materials. The company serves industrial, utility, commercial, and contractor customers. WESCO International, Inc. offers a wide range of products and services including electrical distribution and control products, lighting, data communications, and electrical components, among others."
Murphy USA,MUSA,182,2023,Specialty Retailers: Other,Retailing,AR,El Dorado,9137,21266,673,4123,10550,"Murphy USA Inc. is an American corporation that operates a chain of retail gas stations primarily located in proximity to Walmart stores. The company was founded in 1996 and is headquartered in the United States. Murphy USA Inc. focuses on providing low-cost fuels, as well as convenience store products and amenities, to its customers. The company is known for its strategic partnership with Walmart, which allows it to benefit from the high foot traffic in Walmart's locations."
WestRock,WRK,183,2023,"Packaging, Containers",Materials,GA,Atlanta,13669,21257,945,28406,50500,"WestRock Company is an American corrugated packaging company. It was formed in 2015 through the merger of MeadWestvaco and RockTenn. WestRock is one of the world's largest paper and packaging companies, producing corrugated packaging, consumer packaging, and specialty chemicals. The company operates in North America, South America, Europe, and Asia, serving customers in various industries, including food and beverage, healthcare, personal care, and more. WestRock is known for its focus on sustainability and innovation in packaging solutions."
International Paper,IP,184,2023,"Packaging, Containers",Materials,TN,Memphis,14623,21161,1504,23940,39000,"International Paper Company is an American multinational company that specializes in the production of fiber-based packaging, pulp, and paper products. With operations in North America, Europe, Latin America, North Africa, and Russia, the company is considered one of the world's leading producers of fiber-based packaging, pulp, and paper. International Paper Company employs over 50,000 people worldwide and operates a vast network of manufacturing facilities, converting centers, and recycling plants to serve its global customer base."
Baker Hughes,BKR,185,2023,"Oil and Gas Equipment, Services",Energy,TX,Houston,32026,21156,601,34181,55000,"Baker Hughes Company is an American international industrial service company and one of the world's largest oil field services companies. It operates in more than 120 countries, providing products and services for the oil and gas industry. Baker Hughes offers drilling services, dowhole completion tools, pressure pumping services, and various other products and services related to hydrocarbon exploration and production."
United States Steel,X,186,2023,Metals,Materials,PA,Pittsburgh,8144,21065,2524,19458,22740,"The United States Steel Corporation (U.S. Steel) is an American integrated steel producer headquartered in Pittsburgh, Pennsylvania. It is the 12th largest steel producer in the world and has been a significant force in the industry since its establishment in 1901. U.S. Steel operates across North America, Europe, and Asia, producing a wide range of steel products for various industries including automotive, construction, and manufacturing. The company has a long history of innovation and has played a crucial role in the development of the steel industry in the United States."
NextEra Energy,NEP,187,2023,Utilities: Gas and Electric,Energy,FL,Juno Beach,3232,20956,4147,158935,15300,"NextEra Energy Partners, LP is a publicly traded limited partnership formed by NextEra Energy, Inc. (NYSE: NEE). The company acquires, manages, and owns contracted clean energy projects with stable, long-term cash flows. NextEra Energy Partners focuses on renewable energy assets such as wind and solar projects, as well as natural gas infrastructure assets. The company's goal is to generate predictable cash distributions for its investors while contributing to a more sustainable energy future."
Targa Resources,TRGP,188,2023,Pipelines,Energy,TX,Houston,25480,20930,1196,19560,2850,"Targa Resources Corp. is a midstream energy company in the United States. It is engaged in the business of gathering, compressing, processing, and selling natural gas, natural gas liquids, crude oil, and refined petroleum products. Targa Resources operates primarily in the Permian Basin of West Texas and Southeast New Mexico, as well as in North Dakota, Oklahoma, and along the Gulf Coast of Texas and Louisiana. The company provides integrated services to producers, marketers, and end users of natural gas, NGLs, crude oil, and refined petroleum products."
Lear,LEA,189,2023,Motor Vehicles & Parts,Motor Vehicles & Parts,MI,Southfield,7194,20892,328,13763,168700,"Lear Corporation is an American company that specializes in automotive seating and electrical systems. It was founded in Detroit in 1917 as American Metal Products, and later changed its name to Lear-Siegler in 1965. In 1988, the company adopted its current name, Lear Corporation. Lear operates in 39 countries and has approximately 165,000 employees worldwide. The company provides seating systems, individual seating components, and electrical distribution systems to the automotive industry."
Jones Lang LaSalle,JLL,190,2023,Real Estate,Financials,IL,Chicago,9443,20862,655,15594,103300,"Jones Lang LaSalle Incorporated, commonly known as JLL, is a professional services and investment management company specializing in real estate. The company offers services such as property management, leasing, project and development services, and investment management to clients worldwide. JLL operates in over 80 countries and has a workforce of approximately 92,000 employees. The company's services cater to various industries including commercial, residential, industrial, and retail real estate. With a focus on providing innovative solutions and strategic advice, JLL has established itself as a leading player in the global real estate market."
Goodyear Tire & Rubber,GT,191,2023,Motor Vehicles & Parts,Motor Vehicles & Parts,OH,Akron,3576,20805,202,22431,74000,"The Goodyear Tire & Rubber Company is an American multinational tire manufacturing company founded in 1898 by Frank Seiberling. Goodyear manufactures tires for automobiles, commercial trucks, light trucks, motorcycles, SUVs, race cars, airplanes, farm equipment, and heavy earth-mover machinery. It also produces several other rubber products, including belts, hoses, and other products for transportation and industrial applications. The company operates in several countries around the world and is known for its innovation in tire technology and commitment to quality and performance."
Marriott International,MAR,192,2023,"Hotels, Casinos, Resorts","Hotels, Restaurants & Leisure",MD,Bethesda,67453,20773,2358,24815,140000,"Marriott International, Inc. is an American multinational diversified hospitality company that manages and franchises a broad portfolio of hotels and related lodging facilities. Founded by J. Willard Marriott and his wife Alice Marriott in 1927, the company is headquartered in Bethesda, Maryland. Marriott International operates and franchises hotels and lodging facilities under various brands, including Marriott, The Ritz-Carlton, Sheraton, Westin, W Hotels, and more. With thousands of properties worldwide, Marriott International is one of the largest hotel chains in the world."
Marsh & McLennan,MMC,193,2023,Diversified Financials,Financials,NY,New York,103876,20720,3050,33454,85000,"Marsh & McLennan Companies, Inc. is a professional services firm that offers consulting, risk management, and insurance brokerage services. It operates through four main subsidiaries: Marsh, Guy Carpenter, Mercer, and Oliver Wyman. Marsh provides insurance broking and risk management consulting, Guy Carpenter focuses on reinsurance services, Mercer offers human resource consulting and investment services, and Oliver Wyman provides management consulting services. With a global presence, the company serves clients in various industries and helps them navigate complex challenges related to risk, strategy, and human capital."
Altria Group,MO,194,2023,Tobacco,"Food, Beverages & Tobacco",VA,Richmond,79560,20688,5764,36954,6300,"Altria Group, Inc. is an American corporation and one of the world's largest producers and marketers of tobacco, cigarettes, and related products. It is best known for its tobacco brands, including Marlboro. In addition to its tobacco business, Altria also has investments in beverage alcohol and cannabis. The company has a long history dating back to the 19th century and has undergone several rebranding and restructuring efforts to adapt to changing market conditions and consumer preferences."
Coupang,CPNG,195,2023,Internet Services and Retailing,Retailing,WA,Seattle,40069,20583,92,9513,63000,"Coupang, Inc. is a South Korean e-commerce company founded in 2010. It is one of the largest and fastest-growing e-commerce platforms in South Korea. Coupang offers a wide range of products including electronics, household goods, groceries, and more, with a focus on fast delivery and customer service. The company has gained popularity for its innovative delivery system, which includes same-day or next-day delivery options for many products. Coupang has expanded its services to include food delivery, mobile payments, and streaming services."
Carrier Global,CARR,196,2023,Industrial Machinery,Industrials,FL,Palm Beach Gardens,58881,20421,3534,26086,52000,"Carrier Global Corporation is an American multinational corporation that specializes in manufacturing and distributing heating, ventilating, and air conditioning (HVAC) systems, as well as refrigeration equipment. The company was established in 1915 by Willis Carrier, who is credited with inventing modern air conditioning. Carrier Global Corporation operates through three main segments: HVAC, Refrigeration, and Fire & Security. With a focus on sustainability and energy efficiency, the company provides solutions for residential, commercial, and industrial buildings worldwide."
Halliburton,HAL,197,2023,"Oil and Gas Equipment, Services",Energy,TX,Houston,32198,20297,1572,23255,45000,"Halliburton Company is an American multinational corporation that provides products and services to the energy industry. Its primary focus is on drilling and evaluation, completion and production, and optimization of oil and natural gas wells. The company was founded in 1919 and has grown to become one of the largest oilfield services companies in the world. Halliburton operates in more than 80 countries and has a workforce of approximately 55,000 employees."
Delek US Holdings,DK,198,2023,Petroleum Refining,Energy,TN,Brentwood,1766,20246,257,8193,3746,"Delek US Holdings, Inc. is an American energy company specializing in petroleum refining and logistics. The company is involved in the refining, marketing, and transportation of petroleum products, including gasoline, diesel, asphalt, and jet fuel. Delek US Holdings operates refining facilities in several states and also has a network of pipelines and terminals for the transportation and storage of petroleum products. The company was founded in 2001 and has since grown to become a significant player in the energy sector in the United States."
Kimberly-Clark,KMB,199,2023,Household and Personal Products,Household Products,TX,Irving,45075,20175,1934,17970,44000,"Kimberly-Clark Corporation is an American multinational personal care corporation that produces paper-based consumer products. Kimberly-Clark's brands include Kleenex, Scott, Huggies, Pull-Ups, Kotex, and Depend. With its headquarters in the United States, the company operates in 35 countries and employs more than 40,000 people globally. Kimberly-Clark is known for its innovative products in the areas of facial tissue, bathroom tissue, diapers, and feminine hygiene products. The company has a strong commitment to sustainability and social responsibility, focusing on reducing its environmental impact and supporting the communities in which it operates."
